"classification_name","classification_code","company_id"
Independent Software Vendor,ISV,36970
Independent Software Vendor,ISV,36976
Regional Systems Integrator,RSI,36979
Independent Software Vendor,ISV,36980
Independent Software Vendor,ISV,36981
Value Added Reseller,VAR,36983
Independent Software Vendor,ISV,36983
Independent Software Vendor,ISV,36987
Independent Software Vendor,ISV,36989
Independent Software Vendor,ISV,36992
Independent Software Vendor,ISV,36994
Regional Systems Integrator,RSI,36995
Regional Systems Integrator,RSI,36998
Cloud Service Provider,CSP,37000
Value Added Reseller,VAR,37000
Independent Software Vendor,ISV,37000
Managed Service Provider,MSP,37001
Independent Software Vendor,ISV,37001
Regional Systems Integrator,RSI,37001
Independent Software Vendor,ISV,37002
Value Added Reseller,VAR,37006
Independent Software Vendor,ISV,37006
Independent Software Vendor,ISV,37008
Independent Software Vendor,ISV,37010
Independent Software Vendor,ISV,37011
Independent Software Vendor,ISV,37012
Cloud Service Provider,CSP,37013
Independent Software Vendor,ISV,37013
Regional Systems Integrator,RSI,37014
Regional Systems Integrator,RSI,37015
Independent Software Vendor,ISV,37016
Managed Service Provider,MSP,37017
Cloud Service Provider,CSP,37017
Value Added Reseller,VAR,37017
Independent Software Vendor,ISV,37017
Regional Systems Integrator,RSI,37017
Regional Systems Integrator,RSI,37018
Independent Software Vendor,ISV,37019
Managed Service Provider,MSP,37021
Cloud Service Provider,CSP,37021
Value Added Reseller,VAR,37021
Independent Software Vendor,ISV,37021
Regional Systems Integrator,RSI,37021
Regional Systems Integrator,RSI,37022
Independent Software Vendor,ISV,37026
Managed Service Provider,MSP,37028
Cloud Service Provider,CSP,37028
Regional Systems Integrator,RSI,37028
Value Added Reseller,VAR,37029
Independent Software Vendor,ISV,37029
Regional Systems Integrator,RSI,37029
Managed Service Provider,MSP,37030
Independent Software Vendor,ISV,37030
Regional Systems Integrator,RSI,37030
Value Added Reseller,VAR,37031
Independent Software Vendor,ISV,37031
Independent Software Vendor,ISV,37032
Regional Systems Integrator,RSI,37033
