"parent_industry","industry","company_id"
Education,Education,78003
Transportation,Transportation,78003
Retail,Retail,78003
Professional Services,Software and IT Services,78004
Professional Services,Business Services,78009
Education,Education,78010
Utilities,Utilities,78014
Professional Services,Business Services,78014
Media,Media,78014
Professional Services,Software and IT Services,78014
Education,Education,78014
Transportation,Transportation,78014
Retail,Retail,78014
Banking,Banking and Financial Services,78021
Education,Education,78021
Retail,Retail,78021
Banking,Banking and Financial Services,78024
Professional Services,Business Services,78026
Banking,Banking and Financial Services,78027
Education,Education,78027
Utilities,Utilities,78028
Media,Media,78028
Education,Education,78028
Transportation,Transportation,78028
Retail,Retail,78028
Retail,Retail,78033
Utilities,Utilities,78034
Media,Media,78048
Banking,Banking and Financial Services,78048
Construction,Construction,78048
Utilities,Utilities,78050
Media,Media,78050
Banking,Banking and Financial Services,78050
Education,Education,78050
Retail,Retail,78050
Education,Education,78051
Construction,Construction,78053
Education,Education,78053
Transportation,Transportation,78053
Construction,Construction,78057
Banking,Banking and Financial Services,78061
Education,Education,78061
Professional Services,Business Services,78062
Telecommunications,Communications Services,78062
Education,Education,78062
Professional Services,Software and IT Services,78063
Telecommunications,Communications Services,78063
Education,Education,78068
Healthcare Provider,Health,78068
Education,Education,78072
Construction,Construction,78074
Telecommunications,Communications Services,78074
Media,Media,78076
Discrete Manufacturing,Automotive,78076
Construction,Construction,78076
Education,Education,78076
Transportation,Transportation,78076
Utilities,Utilities,78079
Professional Services,Software and IT Services,78080
Discrete Manufacturing,Automotive,78080
Telecommunications,Communications Services,78080
Discrete Manufacturing,Automotive,78082
Professional Services,Business Services,78084
Professional Services,Software and IT Services,78088
Telecommunications,Communications Services,78088
