"third_platform_category","third_platform_detail","company_id"
Innovation Accelerators,Internet of Things (IoT),13359
Pillars,Social,13366
Pillars,Social,13367
Innovation Accelerators,Internet of Things (IoT),13368
Pillars,Social,13379
Pillars,Social,13390
Pillars,Social,13399
Pillars,Social,13401
Innovation Accelerators,Internet of Things (IoT),13401
Innovation Accelerators,Artificial Intelligence Systems,13417
Pillars,Social,13434
Innovation Accelerators,Internet of Things (IoT),13434
Pillars,Social,13435
Pillars,Social,13437
Pillars,Social,13439
Innovation Accelerators,Internet of Things (IoT),13439
Innovation Accelerators,Robotics,13439
Innovation Accelerators,AR/VR,13439
Innovation Accelerators,Blockchain,13439
Pillars,Social,13440
Innovation Accelerators,Internet of Things (IoT),13440
Pillars,Social,13444
Pillars,Social,13447
Pillars,Social,13448
Pillars,Social,13449
Innovation Accelerators,Internet of Things (IoT),13460
Pillars,Social,13461
Innovation Accelerators,Internet of Things (IoT),13462
Pillars,Social,13463
Pillars,Social,13465
Innovation Accelerators,Internet of Things (IoT),13465
Pillars,Social,13469
Innovation Accelerators,Internet of Things (IoT),13469
Pillars,Social,13472
Pillars,Social,13475
Innovation Accelerators,Internet of Things (IoT),13475
Innovation Accelerators,Blockchain,13475
Pillars,Social,13476
Pillars,Social,13477
Pillars,Social,13480
Pillars,Social,13481
Innovation Accelerators,Internet of Things (IoT),13483
Pillars,Social,13486
Pillars,Social,13490
Pillars,Social,13491
Pillars,Social,13494
Pillars,Social,13495
Pillars,Social,13496
Pillars,Social,13501
Pillars,Social,13502
Pillars,Social,13503
Pillars,Social,13506
Innovation Accelerators,Blockchain,13507
Pillars,Social,13508
Pillars,Social,13512
Pillars,Social,13513
Innovation Accelerators,Internet of Things (IoT),13513
Innovation Accelerators,Blockchain,13513
Innovation Accelerators,Artificial Intelligence Systems,13515
Pillars,Social,13517
Pillars,Social,13518
Pillars,Social,13522
Innovation Accelerators,Internet of Things (IoT),13522
Pillars,Social,13523
Innovation Accelerators,Internet of Things (IoT),13523
Pillars,Social,13525
Pillars,Big Data and Analytics,13525
Innovation Accelerators,Internet of Things (IoT),13525
Innovation Accelerators,Robotics,13525
Innovation Accelerators,Artificial Intelligence Systems,13525
Pillars,Social,13528
Innovation Accelerators,Next Generation Security,13539
Pillars,Social,13541
Pillars,Social,13542
Pillars,Social,13545
Innovation Accelerators,Internet of Things (IoT),13545
Pillars,Social,13548
Innovation Accelerators,Internet of Things (IoT),13548
Innovation Accelerators,AR/VR,13548
Pillars,Social,13555
Pillars,Social,13556
Pillars,Social,13557
Pillars,Social,13558
Pillars,Social,13562
Innovation Accelerators,Internet of Things (IoT),13562
Pillars,Social,13567
Pillars,Social,13569
Innovation Accelerators,Internet of Things (IoT),13570
Innovation Accelerators,Internet of Things (IoT),13571
Pillars,Social,13575
Pillars,Social,13578
Pillars,Big Data and Analytics,13581
Pillars,Social,13582
Pillars,Social,13585
Pillars,Social,13586
Pillars,Social,13587
Pillars,Social,13588
Pillars,Social,13592
Pillars,Social,13595
Pillars,Social,13597
Pillars,Social,13598
Innovation Accelerators,Robotics,13600
Pillars,Social,13608
Pillars,Social,13611
Pillars,Social,13612
Pillars,Social,13615
Pillars,Social,13617
Pillars,Social,13619
Pillars,Social,13620
Innovation Accelerators,Internet of Things (IoT),13620
Innovation Accelerators,Next Generation Security,13621
Pillars,Social,13627
Pillars,Social,13628
Innovation Accelerators,Internet of Things (IoT),13628
Pillars,Social,13631
Pillars,Social,13637
Pillars,Social,13639
Innovation Accelerators,Internet of Things (IoT),13639
Pillars,Social,13640
Pillars,Social,13644
Pillars,Social,13646
Pillars,Social,13647
Innovation Accelerators,Internet of Things (IoT),13651
Pillars,Social,13655
Innovation Accelerators,Internet of Things (IoT),13655
Pillars,Social,13657
Innovation Accelerators,Next Generation Security,13659
Pillars,Social,13661
Pillars,Social,13662
Pillars,Social,13664
Pillars,Social,13665
Innovation Accelerators,Artificial Intelligence Systems,13666
Pillars,Social,13668
Pillars,Social,13669
Innovation Accelerators,Internet of Things (IoT),13669
Innovation Accelerators,Robotics,13669
Innovation Accelerators,Blockchain,13669
Pillars,Social,13670
Pillars,Social,13675
Innovation Accelerators,Internet of Things (IoT),13675
Innovation Accelerators,Next Generation Security,13679
Pillars,Social,13685
Pillars,Social,13686
Innovation Accelerators,Internet of Things (IoT),13689
Pillars,Social,13694
Pillars,Social,13696
Innovation Accelerators,"3D Printing",13701
Pillars,Social,13711
Pillars,Social,13714
Pillars,Social,13726
Pillars,Social,13729
Pillars,Social,13737
Innovation Accelerators,Next Generation Security,13739
Pillars,Social,13740
Pillars,Social,13745
Innovation Accelerators,Internet of Things (IoT),13745
Pillars,Social,13750
Innovation Accelerators,Internet of Things (IoT),13750
Pillars,Social,13755
Pillars,Big Data and Analytics,13755
Innovation Accelerators,Internet of Things (IoT),13755
Innovation Accelerators,Blockchain,13755
Pillars,Social,13762
Innovation Accelerators,Internet of Things (IoT),13763
Pillars,Social,13764
Pillars,Social,13765
Pillars,Social,13767
Pillars,Social,13769
Pillars,Social,13771
Pillars,Social,13774
Innovation Accelerators,Artificial Intelligence Systems,13775
Pillars,Social,13776
Pillars,Social,13780
Pillars,Social,13784
Pillars,Social,13787
Pillars,Social,13789
Pillars,Social,13792
Innovation Accelerators,Next Generation Security,13794
Pillars,Social,13800
Innovation Accelerators,Next Generation Security,13801
Pillars,Social,13813
Innovation Accelerators,Next Generation Security,13814
Pillars,Social,13816
Innovation Accelerators,Robotics,13823
Pillars,Social,13835
Innovation Accelerators,Artificial Intelligence Systems,13837
Pillars,Social,13841
Pillars,Social,13856
Pillars,Social,13858
Pillars,Social,13860
Innovation Accelerators,Next Generation Security,13863
Pillars,Social,13864
Pillars,Social,13867
Innovation Accelerators,Artificial Intelligence Systems,13869
Pillars,Social,13870
Pillars,Social,13872
Pillars,Social,13874
Pillars,Social,13875
Pillars,Social,13877
Innovation Accelerators,Internet of Things (IoT),13881
Innovation Accelerators,Next Generation Security,13885
Pillars,Social,13887
Pillars,Social,13896
Pillars,Social,13899
Pillars,Social,13901
Pillars,Social,13902
Innovation Accelerators,Next Generation Security,13902
Pillars,Social,13907
Pillars,Social,13923
Innovation Accelerators,Internet of Things (IoT),13923
Pillars,Social,13929
Pillars,Social,13933
Pillars,Social,13941
Pillars,Social,13944
Innovation Accelerators,Internet of Things (IoT),13944
Innovation Accelerators,AR/VR,13944
Pillars,Social,13945
Pillars,Social,13946
Pillars,Social,13947
Innovation Accelerators,Artificial Intelligence Systems,13955
Pillars,Social,13956
Pillars,Social,13957
Pillars,Social,13961
Innovation Accelerators,Internet of Things (IoT),13961
Pillars,Social,13979
Pillars,Social,13980
Pillars,Social,13989
Innovation Accelerators,Robotics,14000
Innovation Accelerators,Artificial Intelligence Systems,14000
Innovation Accelerators,"3D Printing",14002
Innovation Accelerators,Blockchain,14007
Innovation Accelerators,Internet of Things (IoT),14009
Innovation Accelerators,Artificial Intelligence Systems,14014
Innovation Accelerators,Blockchain,14018
Pillars,Social,14022
Innovation Accelerators,Artificial Intelligence Systems,14025
Innovation Accelerators,Internet of Things (IoT),14029
Innovation Accelerators,Blockchain,14035
Pillars,Social,14039
Innovation Accelerators,Artificial Intelligence Systems,14042
Pillars,Social,14058
Innovation Accelerators,Internet of Things (IoT),14058
Innovation Accelerators,Blockchain,14058
Pillars,Social,14067
Innovation Accelerators,Artificial Intelligence Systems,14068
Pillars,Social,14073
Pillars,Social,14075
Innovation Accelerators,Internet of Things (IoT),14084
Pillars,Social,14085
Innovation Accelerators,Internet of Things (IoT),14088
Pillars,Social,14089
Pillars,Social,14093
Pillars,Social,14097
Innovation Accelerators,Internet of Things (IoT),14097
Pillars,Social,14099
Pillars,Social,14102
